interventionType,intervention,jobsType,jobsName,value,id,region,country,gP,status
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P082817,AFR,Cote d'Ivoire,"Urban, Rural & Social GP",Active
Meso-level: Business Environment,Infrastructure- Transport,Intermediate Outcomes,Access to/ working of product markets,Yes,P083588,EAP,Vietnam,Transport and ICT GP,Active
Meso-level: Business Environment,Infrastructure- Transport,Job Quality,Earnings/ livelihood,Yes,P083588,EAP,Vietnam,Transport and ICT GP,Active
Meso-level: Business Environment,Infrastructure- Transport,Job Access,Labor force participation,Yes,P083588,EAP,Vietnam,Transport and ICT GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P083813,AFR,"Congo, Democratic Republic of",Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P083813,AFR,"Congo, Democratic Republic of",Environment & Natural Resources GP,Active
Meso-level: Business Environment,Infrastructure-Irrigation/Water,Job Quality,Earnings/ livelihood,Yes,P084148,AFR,Malawi,Agriculture GP,Active
Meso-level: Business Environment,Infrastructure-Irrigation/Water,Job Quality,Earnings/ livelihood,Yes,P084302,SAR,Pakistan,Water GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P084792,SAR,India,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P084792,SAR,India,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Public Employment,Job Quality,Earnings/ livelihood,Yes,P085009,AFR,Tanzania,Trade & Competitiveness GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Public Employment,Job Access,Working of labor market,Yes,P085009,AFR,Tanzania,Trade & Competitiveness GP,Active
Meso-level: Business Environment,Infrastructure- Transport,Intermediate Outcomes,Access to/ working of product markets,Yes,P085231,MNA,"Yemen, Republic of",Transport and ICT GP,Active
Meso-level: Business Environment,Infrastructure- Transport,Job Quality,Earnings/ livelihood,Yes,P085231,MNA,"Yemen, Republic of",Transport and ICT GP,Active
Meso-level: Business Environment,Infrastructure- Transport,Job Access,Labor force participation,Yes,P085231,MNA,"Yemen, Republic of",Transport and ICT GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Public Employment,Job Quality,Earnings/ livelihood,Yes,P085376,EAP,China,Social Protection & Labor GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Public Employment,Job Access,Working of labor market,Yes,P085376,EAP,China,Social Protection & Labor GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P085621,LCR,Chile,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P085621,LCR,Chile,Environment & Natural Resources GP,Active
Meso-level: Business Environment,Spatial Development,Intermediate Outcomes,Access to/ working of product markets,Yes,P086446,EAP,China,"Urban, Rural & Social GP",Active
Meso-level: Business Environment,Spatial Development,Intermediate Outcomes,Firm performance/ investment,Yes,P086446,EAP,China,"Urban, Rural & Social GP",Active
Meso-level: Business Environment,Spatial Development,Job Creation,Job creation (by employers),Yes,P086446,EAP,China,"Urban, Rural & Social GP",Active
Meso-level: Business Environment,Spatial Development,Job Creation,New enterprises,Yes,P086446,EAP,China,"Urban, Rural & Social GP",Active
Meso-level: Business Environment,Spatial Development,Job Quality,Earnings/ livelihood,Yes,P086446,EAP,China,"Urban, Rural & Social GP",Active
Meso-level: Business Environment,Spatial Development,Job Access,Labor force participation,Yes,P086446,EAP,China,"Urban, Rural & Social GP",Active
Meso-level: Business Environment,Spatial Development,Job Access,Lagging regions,Yes,P086446,EAP,China,"Urban, Rural & Social GP",Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P086528,AFR,South Africa,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P086528,AFR,South Africa,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P086807,ECA,Albania,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P086807,ECA,Albania,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Intermediate Outcomes,Human capital,Yes,P087347,AFR,Mozambique,Education GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Job Access,Labor force participation,Yes,P087347,AFR,Mozambique,Education GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P088520,SAR,India,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P088520,SAR,India,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P088598,SAR,India,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P088598,SAR,India,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Productive Assets- Land,Job Quality,Earnings/ livelihood,Yes,P088600,AFR,Kenya,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P088799,LCR,Paraguay,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P088799,LCR,Paraguay,Agriculture GP,Active
Micro- level: Individuals/ Firms,Productive Assets-Finance/Financial System,Intermediate Outcomes,Access to/ working of product markets,Yes,P088816,EAP,Mongolia,Finance & Markets GP,Active
Micro- level: Individuals/ Firms,Productive Assets-Finance/Financial System,Intermediate Outcomes,Firm performance/ investment,Yes,P088816,EAP,Mongolia,Finance & Markets GP,Active
Micro- level: Individuals/ Firms,Productive Assets-Finance/Financial System,Job Creation,New enterprises,Yes,P088816,EAP,Mongolia,Finance & Markets GP,Active
Meso-level: Business Environment,Infrastructure-Irrigation/Water,Job Quality,Earnings/ livelihood,Yes,P088926,EAP,Philippines,Water GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P089297,EAP,Solomon Islands,"Urban, Rural & Social GP",Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P089297,EAP,Solomon Islands,"Urban, Rural & Social GP",Active
Meso-level: Business Environment,Infrastructure- Transport,Intermediate Outcomes,Access to/ working of product markets,Yes,P090075,AFR,Mali,Transport and ICT GP,Active
Meso-level: Business Environment,Infrastructure- Transport,Job Quality,Earnings/ livelihood,Yes,P090075,AFR,Mali,Transport and ICT GP,Active
Meso-level: Business Environment,Infrastructure- Transport,Job Access,Labor force participation,Yes,P090075,AFR,Mali,Transport and ICT GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P090764,SAR,India,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P090764,SAR,India,Agriculture GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Intermediate Outcomes,Human capital,Yes,P090807,SAR,Bangladesh,Education GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Job Access,Labor force participation,Yes,P090807,SAR,Bangladesh,Education GP,Active
Meso-level: Business Environment,Infrastructure- Transport,Intermediate Outcomes,Access to/ working of product markets,Yes,P091020,EAP,China,Transport and ICT GP,Active
Meso-level: Business Environment,Infrastructure- Transport,Job Quality,Earnings/ livelihood,Yes,P091020,EAP,China,Transport and ICT GP,Active
Meso-level: Business Environment,Infrastructure- Transport,Job Access,Labor force participation,Yes,P091020,EAP,China,Transport and ICT GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P091031,SAR,India,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P091031,SAR,India,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P091145,ECA,Albania,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P091145,ECA,Albania,Environment & Natural Resources GP,Active
Macro-level: Economic Conditions,Trade & Investment Policy,Intermediate Outcomes,Firm performance/ investment,Yes,P091283,AFR,Central African Republic,Macro & Fiscal Management GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P091949,EAP,China,"Urban, Rural & Social GP",Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P091949,EAP,China,"Urban, Rural & Social GP",Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P091950,EAP,China,"Urban, Rural & Social GP",Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P091950,EAP,China,"Urban, Rural & Social GP",Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P092217,SAR,India,"Urban, Rural & Social GP",Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P092217,SAR,India,"Urban, Rural & Social GP",Active
Macro-level: Economic Conditions,Public Administration and Governance,Intermediate Outcomes,Firm performance/ investment,Yes,P092429,ECA,Russian Federation,Poverty GP,Active
Meso-level: Business Environment,Infrastructure- Transport,Intermediate Outcomes,Access to/ working of product markets,Yes,P092509,AFR,Ghana,Transport and ICT GP,Active
Meso-level: Business Environment,Infrastructure- Transport,Job Quality,Earnings/ livelihood,Yes,P092509,AFR,Ghana,Transport and ICT GP,Active
Meso-level: Business Environment,Infrastructure- Transport,Job Access,Labor force participation,Yes,P092509,AFR,Ghana,Transport and ICT GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P092999,ECA,Serbia,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P092999,ECA,Serbia,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P093478,SAR,India,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P093478,SAR,India,Agriculture GP,Active
Meso-level: Business Environment,Infrastructure-Irrigation/Water,Job Quality,Earnings/ livelihood,Yes,P093719,MNA,Morocco,Water GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P093775,ECA,Romania,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P093775,ECA,Romania,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P093856,AFR,Uganda,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P093856,AFR,Uganda,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P094154,LCR,Nicaragua,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P094154,LCR,Nicaragua,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P094155,LCR,Costa Rica,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P094155,LCR,Costa Rica,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Public Employment,Job Quality,Earnings/ livelihood,Yes,P094225,ECA,Armenia,Social Protection & Labor GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Public Employment,Job Access,Working of labor market,Yes,P094225,ECA,Armenia,Social Protection & Labor GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P094307,AFR,Sierra Leone,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P094307,AFR,Sierra Leone,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P094335,LCR,Paraguay,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P094335,LCR,Paraguay,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P094425,LCR,Argentina,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P094425,LCR,Argentina,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P094692,AFR,Kenya,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P094692,AFR,Kenya,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P095251,AFR,"Congo, Republic of",Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P095251,AFR,"Congo, Republic of",Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P095346,AFR,Niger,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P095346,AFR,Niger,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P095424,LCR,Peru,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P095424,LCR,Peru,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P095617,AFR,Botswana,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P095617,AFR,Botswana,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P095901,SAR,India,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P095901,SAR,India,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P095925,MNA,"Egypt, Arab Republic of",Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P095925,MNA,"Egypt, Arab Republic of",Environment & Natural Resources GP,Active
Macro-level: Economic Conditions,Trade & Investment Policy,Intermediate Outcomes,Firm performance/ investment,Yes,P096105,AFR,Sierra Leone,Agriculture GP,Active
Macro-level: Economic Conditions,Trade & Investment Policy,Job Creation,New enterprises,Yes,P096105,AFR,Sierra Leone,Agriculture GP,Active
Meso-level: Business Environment,Infrastructure-Irrigation/Water,Job Quality,Earnings/ livelihood,Yes,P096409,ECA,Kyrgyz Republic,Water GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P096648,AFR,Nigeria,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P096648,AFR,Nigeria,Agriculture GP,Active
Meso-level: Business Environment,Infrastructure- Transport,Intermediate Outcomes,Access to/ working of product markets,Yes,P096931,EAP,Tonga,Transport and ICT GP,Active
Meso-level: Business Environment,Infrastructure- Transport,Job Quality,Earnings/ livelihood,Yes,P096931,EAP,Tonga,Transport and ICT GP,Active
Meso-level: Business Environment,Infrastructure- Transport,Job Access,Labor force participation,Yes,P096931,EAP,Tonga,Transport and ICT GP,Active
Macro-level: Economic Conditions,Public Administration and Governance,Intermediate Outcomes,Firm performance/ investment,Yes,P097604,LCR,Uruguay,Governance GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P097742,AFR,Uganda,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P097742,AFR,Uganda,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P097985,SAR,India,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P097985,SAR,India,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P098132,AFR,Ethiopia,Trade & Competitiveness GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P098132,AFR,Ethiopia,Trade & Competitiveness GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P098151,SAR,Bangladesh,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P098151,SAR,Bangladesh,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P098268,AFR,Mali,Agriculture GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P098268,AFR,Mali,Agriculture GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Intermediate Outcomes,Human capital,Yes,P098496,AFR,Tanzania,Education GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Job Access,Labor force participation,Yes,P098496,AFR,Tanzania,Education GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Job Access,Youth,Yes,P098496,AFR,Tanzania,Education GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P098538,AFR,Ghana,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P098538,AFR,Ghana,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P098615,LCR,Colombia,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P098615,LCR,Colombia,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Intermediate Outcomes,Human capital,Yes,P099047,SAR,India,Education GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Job Quality,Earnings/ livelihood,Yes,P099047,SAR,India,Education GP,Active
Micro- level: Individuals/ Firms,Skills & Training,Job Access,Labor force participation,Yes,P099047,SAR,India,Education GP,Active
Macro-level: Economic Conditions,Taxation/Fiscal Policy,Intermediate Outcomes,Firm performance/ investment,Yes,P099376,EAP,Vietnam,Governance GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P099460,EAP,Vietnam,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Access,Labor force participation,Yes,P099460,EAP,Vietnam,Environment & Natural Resources GP,Active
Micro- level: Individuals/ Firms,Labor Programs- Livelihoods/ CDD,Job Quality,Earnings/ livelihood,Yes,P099528,ECA,Romania,Environment & Natural Resources GP,Active
